user_id,conversion_date,revenue,product
U1204,2025-03-08,630,Pro Plan
U1097,2025-03-19,569,Basic Plan
U1743,2025-03-19,541,Subscription
U1873,2025-03-23,975,Subscription
U1944,2025-03-04,360,Subscription
U1024,2025-03-13,639,Basic Plan
U1517,2025-03-22,481,Pro Plan
U1402,2025-03-07,288,Basic Plan
U1986,2025-03-26,193,Subscription
U1506,2025-03-16,808,Subscription
U1324,2025-03-27,94,Basic Plan
U1603,2025-03-23,340,Subscription
U1394,2025-03-28,568,Pro Plan
U1038,2025-03-18,671,Pro Plan
U1132,2025-03-19,351,Pro Plan
U1460,2025-03-29,409,Pro Plan
U1071,2025-03-26,472,Pro Plan
U1581,2025-03-18,256,Pro Plan
U1840,2025-03-19,711,Basic Plan
U1013,2025-03-21,115,Basic Plan
U1845,2025-03-11,899,Subscription
U1605,2025-03-13,369,Subscription
U1712,2025-03-09,186,Basic Plan
U1983,2025-03-07,986,Pro Plan
U1268,2025-03-01,563,Pro Plan
U1391,2025-03-04,947,Pro Plan
U1452,2025-03-19,241,Pro Plan
U1490,2025-03-20,650,Pro Plan
U1982,2025-03-17,697,Subscription
U1372,2025-03-14,198,Subscription
U1387,2025-03-08,784,Basic Plan
U1951,2025-03-16,857,Pro Plan
U1856,2025-03-27,153,Basic Plan
U1420,2025-03-18,84,Basic Plan
U1090,2025-03-20,960,Subscription
U1805,2025-03-21,908,Basic Plan
U1613,2025-03-08,883,Basic Plan
U1832,2025-03-18,80,Basic Plan
U1237,2025-03-05,410,Basic Plan
U1918,2025-03-02,83,Subscription
U1474,2025-03-23,108,Subscription
U1786,2025-03-17,127,Pro Plan
U1709,2025-03-14,727,Subscription
U1037,2025-03-01,161,Basic Plan
U1615,2025-03-04,366,Basic Plan
U1422,2025-03-17,717,Pro Plan
U1608,2025-03-26,697,Pro Plan
U1700,2025-03-27,67,Subscription
U1309,2025-03-27,204,Pro Plan
U1174,2025-03-10,409,Pro Plan
U1393,2025-03-16,61,Subscription
U1827,2025-03-20,740,Basic Plan
U1779,2025-03-27,244,Pro Plan
U1997,2025-03-09,358,Basic Plan
U1898,2025-03-22,726,Basic Plan
U1516,2025-03-10,866,Subscription
U1039,2025-03-19,140,Subscription
U1088,2025-03-15,524,Subscription
U1616,2025-03-07,672,Pro Plan
U1098,2025-03-26,296,Pro Plan
U1865,2025-03-18,693,Subscription
U1777,2025-03-11,839,Subscription
U1804,2025-03-15,660,Subscription
U1959,2025-03-06,210,Pro Plan
U1256,2025-03-16,498,Basic Plan
U1665,2025-03-17,75,Pro Plan
U1282,2025-03-16,855,Pro Plan
U1266,2025-03-10,854,Pro Plan
U1149,2025-03-28,701,Basic Plan
U1310,2025-03-14,95,Subscription
U1413,2025-03-29,829,Pro Plan
U1053,2025-03-12,755,Pro Plan
U1120,2025-03-27,322,Pro Plan
U1084,2025-03-18,839,Subscription
U1696,2025-03-26,614,Basic Plan
U1466,2025-03-24,366,Basic Plan
U1507,2025-03-04,815,Subscription
U1254,2025-03-02,964,Basic Plan
U1375,2025-03-12,507,Subscription
U1123,2025-03-13,814,Pro Plan
U1424,2025-03-22,72,Subscription
U1230,2025-03-15,459,Subscription
U1076,2025-03-23,197,Basic Plan
U1431,2025-03-13,601,Basic Plan
U1656,2025-03-07,169,Pro Plan
U1961,2025-03-09,759,Subscription
U1093,2025-03-04,192,Basic Plan
U1945,2025-03-26,310,Subscription
U1441,2025-03-30,378,Subscription
U1762,2025-03-09,59,Pro Plan
U1382,2025-03-26,885,Pro Plan
U1677,2025-03-24,127,Basic Plan
U1900,2025-03-01,450,Basic Plan
U1362,2025-03-24,972,Subscription
U1000,2025-03-09,412,Subscription
U1107,2025-03-26,829,Basic Plan
U1909,2025-03-03,384,Basic Plan
U1003,2025-03-10,850,Pro Plan
U1566,2025-03-27,357,Pro Plan
U1351,2025-03-02,846,Subscription
U1844,2025-03-08,914,Basic Plan
U1508,2025-03-04,300,Basic Plan
U1396,2025-03-05,751,Basic Plan
U1800,2025-03-23,286,Pro Plan
U1162,2025-03-17,266,Basic Plan
U1283,2025-03-22,497,Subscription
U1278,2025-03-02,481,Pro Plan
U1298,2025-03-05,625,Subscription
U1828,2025-03-22,438,Pro Plan
U1395,2025-03-07,628,Basic Plan
U1170,2025-03-30,905,Subscription
U1102,2025-03-13,248,Basic Plan
U1935,2025-03-24,884,Subscription
U1502,2025-03-29,483,Basic Plan
U1199,2025-03-10,81,Subscription
U1882,2025-03-07,442,Basic Plan
U1921,2025-03-20,281,Pro Plan
U1969,2025-03-04,241,Pro Plan
U1659,2025-03-12,787,Basic Plan
U1509,2025-03-01,933,Subscription
U1874,2025-03-28,753,Basic Plan
U1810,2025-03-09,205,Pro Plan
U1534,2025-03-17,166,Subscription
U1390,2025-03-13,872,Pro Plan
U1115,2025-03-16,695,Subscription
U1426,2025-03-26,165,Subscription
U1459,2025-03-28,302,Basic Plan
U1726,2025-03-15,365,Basic Plan
U1167,2025-03-10,421,Basic Plan
U1304,2025-03-17,632,Pro Plan
U1087,2025-03-13,557,Basic Plan
U1746,2025-03-15,853,Subscription
U1535,2025-03-14,166,Subscription
U1111,2025-03-24,400,Subscription
U1896,2025-03-02,357,Subscription
U1684,2025-03-10,271,Basic Plan
U1643,2025-03-20,846,Pro Plan
U1101,2025-03-21,206,Subscription
U1635,2025-03-25,227,Basic Plan
U1861,2025-03-16,732,Pro Plan
U1778,2025-03-09,381,Pro Plan
U1842,2025-03-29,356,Basic Plan
U1456,2025-03-18,639,Pro Plan
U1138,2025-03-21,946,Basic Plan
U1759,2025-03-11,421,Subscription
U1981,2025-03-04,352,Pro Plan
U1833,2025-03-22,81,Pro Plan
U1627,2025-03-14,615,Basic Plan
U1859,2025-03-26,812,Subscription
U1019,2025-03-23,732,Subscription
U1633,2025-03-02,243,Pro Plan
U1291,2025-03-23,974,Pro Plan
U1224,2025-03-28,884,Subscription
U1252,2025-03-07,725,Basic Plan
U1228,2025-03-23,470,Basic Plan
U1599,2025-03-26,277,Subscription
U1407,2025-03-13,577,Subscription
U1180,2025-03-02,867,Basic Plan
U1048,2025-03-18,427,Pro Plan
U1765,2025-03-08,476,Subscription
U1208,2025-03-16,866,Basic Plan
U1468,2025-03-12,827,Pro Plan
U1491,2025-03-08,990,Pro Plan
U1671,2025-03-29,785,Subscription
U1343,2025-03-22,539,Pro Plan
U1780,2025-03-07,517,Subscription
U1353,2025-03-26,330,Subscription
U1355,2025-03-10,235,Subscription
U1908,2025-03-12,690,Pro Plan
U1602,2025-03-25,257,Basic Plan
U1929,2025-03-19,245,Pro Plan
U1493,2025-03-26,418,Subscription
U1321,2025-03-24,232,Subscription
U1690,2025-03-09,606,Pro Plan
U1875,2025-03-16,616,Basic Plan
U1470,2025-03-15,86,Pro Plan
U1799,2025-03-21,901,Subscription
U1002,2025-03-21,746,Basic Plan
U1653,2025-03-19,270,Pro Plan
U1055,2025-03-22,567,Subscription
U1454,2025-03-29,91,Subscription
U1085,2025-03-01,541,Subscription
U1316,2025-03-15,96,Basic Plan
U1301,2025-03-14,107,Subscription
U1557,2025-03-07,258,Subscription
U1685,2025-03-07,301,Subscription
U1075,2025-03-30,852,Pro Plan
U1781,2025-03-25,462,Pro Plan
U1698,2025-03-30,101,Pro Plan
U1125,2025-03-14,980,Pro Plan
U1348,2025-03-30,139,Subscription
U1829,2025-03-07,400,Basic Plan
U1238,2025-03-03,291,Subscription
U1059,2025-03-20,703,Subscription
U1654,2025-03-29,341,Subscription
U1772,2025-03-24,473,Basic Plan
U1834,2025-03-21,414,Pro Plan
U1273,2025-03-08,320,Basic Plan
U1476,2025-03-05,165,Subscription
U1604,2025-03-18,859,Basic Plan
U1313,2025-03-30,192,Pro Plan
U1719,2025-03-23,998,Subscription
U1403,2025-03-08,762,Subscription
U1363,2025-03-27,211,Subscription
U1399,2025-03-13,533,Subscription
U1232,2025-03-09,246,Subscription
U1361,2025-03-22,848,Subscription
U1902,2025-03-30,198,Subscription
U1905,2025-03-06,465,Pro Plan
U1139,2025-03-05,751,Basic Plan
U1692,2025-03-03,135,Subscription
U1946,2025-03-22,975,Subscription
U1290,2025-03-18,464,Subscription
U1733,2025-03-08,210,Subscription
U1122,2025-03-25,469,Subscription
U1556,2025-03-26,984,Pro Plan
U1175,2025-03-13,699,Subscription
U1322,2025-03-18,337,Basic Plan
U1113,2025-03-04,461,Pro Plan
U1770,2025-03-08,513,Subscription
U1155,2025-03-24,892,Pro Plan
U1130,2025-03-01,751,Basic Plan
U1724,2025-03-29,509,Basic Plan
U1352,2025-03-06,525,Basic Plan
U1652,2025-03-26,898,Basic Plan
U1977,2025-03-08,167,Subscription
U1478,2025-03-11,799,Pro Plan
U1231,2025-03-15,152,Subscription
U1513,2025-03-10,469,Basic Plan
U1326,2025-03-28,163,Subscription
U1118,2025-03-25,379,Subscription
U1005,2025-03-14,222,Subscription
U1151,2025-03-16,947,Basic Plan
U1433,2025-03-04,550,Pro Plan
U1889,2025-03-29,272,Basic Plan
U1953,2025-03-10,716,Basic Plan
U1067,2025-03-09,960,Subscription
U1644,2025-03-21,877,Subscription
U1949,2025-03-26,986,Pro Plan
U1189,2025-03-13,429,Pro Plan
U1383,2025-03-06,612,Basic Plan
U1400,2025-03-19,692,Basic Plan
U1109,2025-03-14,994,Basic Plan
U1732,2025-03-09,780,Basic Plan
U1050,2025-03-25,194,Pro Plan
U1267,2025-03-02,63,Pro Plan
U1446,2025-03-23,236,Basic Plan
U1673,2025-03-03,915,Basic Plan
U1667,2025-03-29,467,Pro Plan
U1496,2025-03-09,399,Basic Plan
