user_id,channel,revenue,rn
U1000,Facebook,412.0,1
U1001,Google Ads,,1
U1002,LinkedIn,746.0,1
U1003,Facebook,850.0,1
U1004,LinkedIn,,1
U1005,LinkedIn,222.0,1
U1006,Google Ads,,1
U1007,LinkedIn,,1
U1008,Facebook,,1
U1009,Facebook,,1
U1010,Facebook,,1
U1011,Facebook,,1
U1012,Facebook,,1
U1013,TikTok,115.0,1
U1014,LinkedIn,,1
U1015,LinkedIn,,1
U1016,Facebook,,1
U1017,LinkedIn,,1
U1018,LinkedIn,,1
U1019,LinkedIn,732.0,1
U1020,TikTok,,1
U1021,TikTok,,1
U1022,TikTok,,1
U1023,LinkedIn,,1
U1024,Facebook,639.0,1
U1025,Google Ads,,1
U1026,LinkedIn,,1
U1027,LinkedIn,,1
U1028,LinkedIn,,1
U1029,LinkedIn,,1
U1030,Facebook,,1
U1031,Google Ads,,1
U1032,Google Ads,,1
U1033,LinkedIn,,1
U1034,TikTok,,1
U1035,LinkedIn,,1
U1036,TikTok,,1
U1037,Facebook,161.0,1
U1038,TikTok,671.0,1
U1039,Google Ads,140.0,1
U1040,Facebook,,1
U1041,Google Ads,,1
U1042,Facebook,,1
U1043,Google Ads,,1
U1044,Google Ads,,1
U1045,Google Ads,,1
U1046,Facebook,,1
U1047,Google Ads,,1
U1048,LinkedIn,427.0,1
U1049,Google Ads,,1
U1050,Facebook,194.0,1
U1051,LinkedIn,,1
U1052,LinkedIn,,1
U1053,LinkedIn,755.0,1
U1054,Google Ads,,1
U1055,Google Ads,567.0,1
U1056,Google Ads,,1
U1057,TikTok,,1
U1058,Facebook,,1
U1059,TikTok,703.0,1
U1060,Facebook,,1
U1061,Facebook,,1
U1062,LinkedIn,,1
U1063,Google Ads,,1
U1064,Facebook,,1
U1065,LinkedIn,,1
U1066,TikTok,,1
U1067,LinkedIn,960.0,1
U1068,LinkedIn,,1
U1069,LinkedIn,,1
U1070,Facebook,,1
U1071,Facebook,472.0,1
U1072,LinkedIn,,1
U1073,Google Ads,,1
U1074,TikTok,,1
U1075,Google Ads,852.0,1
U1076,TikTok,197.0,1
U1077,Google Ads,,1
U1078,Facebook,,1
U1079,LinkedIn,,1
U1080,LinkedIn,,1
U1081,Google Ads,,1
U1082,Facebook,,1
U1083,Google Ads,,1
U1084,Facebook,839.0,1
U1085,TikTok,541.0,1
U1086,LinkedIn,,1
U1087,TikTok,557.0,1
U1088,LinkedIn,524.0,1
U1089,LinkedIn,,1
U1090,TikTok,960.0,1
U1091,TikTok,,1
U1092,Facebook,,1
U1093,TikTok,192.0,1
U1094,Google Ads,,1
U1095,Facebook,,1
U1096,LinkedIn,,1
U1097,Google Ads,569.0,1
U1098,Facebook,296.0,1
U1099,TikTok,,1
U1100,LinkedIn,,1
U1101,Facebook,206.0,1
U1102,TikTok,248.0,1
U1103,TikTok,,1
U1104,Google Ads,,1
U1105,Facebook,,1
U1106,LinkedIn,,1
U1107,Google Ads,829.0,1
U1108,Google Ads,,1
U1109,TikTok,994.0,1
U1110,Facebook,,1
U1111,Google Ads,400.0,1
U1112,TikTok,,1
U1113,Facebook,461.0,1
U1114,Google Ads,,1
U1115,LinkedIn,695.0,1
U1116,Facebook,,1
U1117,LinkedIn,,1
U1118,TikTok,379.0,1
U1119,LinkedIn,,1
U1120,Google Ads,322.0,1
U1121,Facebook,,1
U1122,Facebook,469.0,1
U1123,Google Ads,814.0,1
U1124,TikTok,,1
U1125,TikTok,980.0,1
U1126,Google Ads,,1
U1127,Google Ads,,1
U1128,Facebook,,1
U1129,LinkedIn,,1
U1130,TikTok,751.0,1
U1131,Google Ads,,1
U1132,Facebook,351.0,1
U1133,Google Ads,,1
U1134,TikTok,,1
U1135,TikTok,,1
U1136,Facebook,,1
U1137,TikTok,,1
U1138,LinkedIn,946.0,1
U1139,TikTok,751.0,1
U1140,Google Ads,,1
U1141,LinkedIn,,1
U1142,Facebook,,1
U1143,Google Ads,,1
U1144,Google Ads,,1
U1145,LinkedIn,,1
U1146,LinkedIn,,1
U1147,TikTok,,1
U1148,Google Ads,,1
U1149,LinkedIn,701.0,1
U1150,Facebook,,1
U1151,Google Ads,947.0,1
U1152,LinkedIn,,1
U1153,Google Ads,,1
U1154,TikTok,,1
U1155,LinkedIn,892.0,1
U1156,LinkedIn,,1
U1157,TikTok,,1
U1158,TikTok,,1
U1159,Facebook,,1
U1160,Facebook,,1
U1161,TikTok,,1
U1162,Google Ads,266.0,1
U1163,LinkedIn,,1
U1164,TikTok,,1
U1165,LinkedIn,,1
U1166,TikTok,,1
U1167,Facebook,421.0,1
U1168,Google Ads,,1
U1169,Google Ads,,1
U1170,Google Ads,905.0,1
U1171,TikTok,,1
U1172,TikTok,,1
U1173,Facebook,,1
U1174,Facebook,409.0,1
U1175,Google Ads,699.0,1
U1176,Google Ads,,1
U1177,Google Ads,,1
U1178,TikTok,,1
U1179,Google Ads,,1
U1180,LinkedIn,867.0,1
U1181,Facebook,,1
U1182,Google Ads,,1
U1183,Google Ads,,1
U1184,TikTok,,1
U1185,TikTok,,1
U1186,TikTok,,1
U1187,Google Ads,,1
U1188,LinkedIn,,1
U1189,Facebook,429.0,1
U1190,Google Ads,,1
U1191,LinkedIn,,1
U1192,LinkedIn,,1
U1193,TikTok,,1
U1194,LinkedIn,,1
U1195,Google Ads,,1
U1196,Google Ads,,1
U1197,LinkedIn,,1
U1198,Facebook,,1
U1199,Facebook,81.0,1
U1200,Google Ads,,1
U1201,Facebook,,1
U1202,TikTok,,1
U1203,Facebook,,1
U1204,Facebook,630.0,1
U1205,Google Ads,,1
U1206,TikTok,,1
U1207,Google Ads,,1
U1208,LinkedIn,866.0,1
U1209,Facebook,,1
U1210,TikTok,,1
U1211,TikTok,,1
U1212,TikTok,,1
U1213,LinkedIn,,1
U1214,Google Ads,,1
U1215,TikTok,,1
U1216,Google Ads,,1
U1217,Facebook,,1
U1218,Facebook,,1
U1219,LinkedIn,,1
U1220,Google Ads,,1
U1221,Facebook,,1
U1222,LinkedIn,,1
U1223,Google Ads,,1
U1224,Facebook,884.0,1
U1225,Facebook,,1
U1226,Google Ads,,1
U1227,Google Ads,,1
U1228,Facebook,470.0,1
U1229,Google Ads,,1
U1230,Facebook,459.0,1
U1231,Google Ads,152.0,1
U1232,Facebook,246.0,1
U1233,Facebook,,1
U1234,TikTok,,1
U1235,Facebook,,1
U1236,TikTok,,1
U1237,Facebook,410.0,1
U1238,TikTok,291.0,1
U1239,TikTok,,1
U1240,Google Ads,,1
U1241,TikTok,,1
U1242,Facebook,,1
U1243,TikTok,,1
U1244,Google Ads,,1
U1245,LinkedIn,,1
U1246,TikTok,,1
U1247,Google Ads,,1
U1248,Facebook,,1
U1249,Google Ads,,1
U1250,LinkedIn,,1
U1251,TikTok,,1
U1252,Facebook,725.0,1
U1253,Facebook,,1
U1254,TikTok,964.0,1
U1255,Google Ads,,1
U1256,Facebook,498.0,1
U1257,Facebook,,1
U1258,TikTok,,1
U1259,TikTok,,1
U1260,Google Ads,,1
U1261,Facebook,,1
U1262,LinkedIn,,1
U1263,TikTok,,1
U1264,TikTok,,1
U1265,Facebook,,1
U1266,LinkedIn,854.0,1
U1267,LinkedIn,63.0,1
U1268,TikTok,563.0,1
U1269,Facebook,,1
U1270,Facebook,,1
U1271,Facebook,,1
U1272,LinkedIn,,1
U1273,Facebook,320.0,1
U1274,Google Ads,,1
U1275,Facebook,,1
U1276,TikTok,,1
U1277,LinkedIn,,1
U1278,TikTok,481.0,1
U1279,TikTok,,1
U1280,Google Ads,,1
U1281,Google Ads,,1
U1282,Facebook,855.0,1
U1283,Google Ads,497.0,1
U1284,TikTok,,1
U1285,TikTok,,1
U1286,TikTok,,1
U1287,LinkedIn,,1
U1288,LinkedIn,,1
U1289,LinkedIn,,1
U1290,TikTok,464.0,1
U1291,Facebook,974.0,1
U1292,TikTok,,1
U1293,Google Ads,,1
U1294,Google Ads,,1
U1295,Facebook,,1
U1296,TikTok,,1
U1297,Facebook,,1
U1298,LinkedIn,625.0,1
U1299,Facebook,,1
U1300,TikTok,,1
U1301,Facebook,107.0,1
U1302,LinkedIn,,1
U1303,LinkedIn,,1
U1304,LinkedIn,632.0,1
U1305,Google Ads,,1
U1306,TikTok,,1
U1307,Facebook,,1
U1308,Facebook,,1
U1309,TikTok,204.0,1
U1310,Facebook,95.0,1
U1311,LinkedIn,,1
U1312,LinkedIn,,1
U1313,Facebook,192.0,1
U1314,TikTok,,1
U1315,Facebook,,1
U1316,Google Ads,96.0,1
U1317,LinkedIn,,1
U1318,TikTok,,1
U1319,Google Ads,,1
U1320,Google Ads,,1
U1321,TikTok,232.0,1
U1322,LinkedIn,337.0,1
U1323,Google Ads,,1
U1324,TikTok,94.0,1
U1325,LinkedIn,,1
U1326,TikTok,163.0,1
U1327,LinkedIn,,1
U1328,LinkedIn,,1
U1329,Google Ads,,1
U1330,TikTok,,1
U1331,LinkedIn,,1
U1332,Google Ads,,1
U1333,Facebook,,1
U1334,Google Ads,,1
U1335,Google Ads,,1
U1336,Google Ads,,1
U1337,TikTok,,1
U1338,LinkedIn,,1
U1339,TikTok,,1
U1340,Google Ads,,1
U1341,Google Ads,,1
U1342,TikTok,,1
U1343,TikTok,539.0,1
U1344,Google Ads,,1
U1345,Facebook,,1
U1346,TikTok,,1
U1347,LinkedIn,,1
U1348,TikTok,139.0,1
U1349,TikTok,,1
U1350,Google Ads,,1
U1351,TikTok,846.0,1
U1352,TikTok,525.0,1
U1353,Facebook,330.0,1
U1354,Facebook,,1
U1355,Facebook,235.0,1
U1356,Google Ads,,1
U1357,Facebook,,1
U1358,TikTok,,1
U1359,Google Ads,,1
U1360,Facebook,,1
U1361,Google Ads,848.0,1
U1362,LinkedIn,972.0,1
U1363,TikTok,211.0,1
U1364,LinkedIn,,1
U1365,Google Ads,,1
U1366,TikTok,,1
U1367,TikTok,,1
U1368,Google Ads,,1
U1369,LinkedIn,,1
U1370,LinkedIn,,1
U1371,TikTok,,1
U1372,Google Ads,198.0,1
U1373,Google Ads,,1
U1374,LinkedIn,,1
U1375,TikTok,507.0,1
U1376,Facebook,,1
U1377,Google Ads,,1
U1378,TikTok,,1
U1379,LinkedIn,,1
U1380,Google Ads,,1
U1381,Facebook,,1
U1382,Google Ads,885.0,1
U1383,TikTok,612.0,1
U1384,LinkedIn,,1
U1385,Facebook,,1
U1386,TikTok,,1
U1387,Facebook,784.0,1
U1388,Google Ads,,1
U1389,LinkedIn,,1
U1390,LinkedIn,872.0,1
U1391,LinkedIn,947.0,1
U1392,LinkedIn,,1
U1393,Google Ads,61.0,1
U1394,Facebook,568.0,1
U1395,LinkedIn,628.0,1
U1396,LinkedIn,751.0,1
U1397,Facebook,,1
U1398,TikTok,,1
U1399,Facebook,533.0,1
U1400,LinkedIn,692.0,1
U1401,Google Ads,,1
U1402,TikTok,288.0,1
U1403,LinkedIn,762.0,1
U1404,TikTok,,1
U1405,Google Ads,,1
U1406,LinkedIn,,1
