user_id,channel,revenue,total_touches,attribution_credit,spend
U1000,Facebook,412.0,5,82.4,251788
U1000,Google Ads,412.0,5,82.4,123692
U1000,LinkedIn,412.0,5,82.4,271664
U1000,Facebook,412.0,5,82.4,251788
U1000,LinkedIn,412.0,5,82.4,271664
U1001,Google Ads,,3,,355878
U1001,Google Ads,,3,,355878
U1001,Google Ads,,3,,355878
U1002,LinkedIn,746.0,3,248.66666666666663,135832
U1002,Google Ads,746.0,3,248.66666666666663,247384
U1002,Google Ads,746.0,3,248.66666666666663,247384
U1003,Facebook,850.0,5,170.0,383277
U1003,Facebook,850.0,5,170.0,383277
U1003,LinkedIn,850.0,5,170.0,271664
U1003,Facebook,850.0,5,170.0,383277
U1003,LinkedIn,850.0,5,170.0,271664
U1004,LinkedIn,,4,,135832
U1004,Facebook,,4,,383277
U1004,Facebook,,4,,383277
U1004,Facebook,,4,,383277
U1005,LinkedIn,222.0,4,55.5,271664
U1005,Google Ads,222.0,4,55.5,239785
U1005,LinkedIn,222.0,4,55.5,271664
U1005,Google Ads,222.0,4,55.5,239785
U1006,Google Ads,,2,,247384
U1006,Google Ads,,2,,247384
U1007,LinkedIn,,4,,407496
U1007,LinkedIn,,4,,407496
U1007,Facebook,,4,,127759
U1007,LinkedIn,,4,,407496
U1008,Facebook,,2,,125894
U1008,Google Ads,,2,,116093
U1009,Facebook,,3,,253653
U1009,Facebook,,3,,253653
U1009,Google Ads,,3,,123692
U1010,Facebook,,3,,125894
U1010,Google Ads,,3,,239785
U1010,Google Ads,,3,,239785
U1011,Facebook,,4,,255518
U1011,Facebook,,4,,255518
U1011,LinkedIn,,4,,271664
U1011,LinkedIn,,4,,271664
U1012,Facebook,,4,,381412
U1012,TikTok,,4,,136139
U1012,Facebook,,4,,381412
U1012,Facebook,,4,,381412
U1013,TikTok,115.0,5,23.0,272278
U1013,Google Ads,115.0,5,23.0,123692
U1013,Facebook,115.0,5,23.0,253653
U1013,TikTok,115.0,5,23.0,272278
U1013,Facebook,115.0,5,23.0,253653
U1014,LinkedIn,,4,,407496
U1014,Google Ads,,4,,116093
U1014,LinkedIn,,4,,407496
