user_id,touch_date,channel,campaign_id,session_id,utm_source,month,day
U1000,2025-01-30,Facebook,F001,S11015,unknown,1,Thursday
U1000,2025-01-31,Google Ads,G002,S18415,Google Ads,1,Friday
U1000,2025-02-01,LinkedIn,L001,S72292,LinkedIn,2,Saturday
U1000,2025-02-02,Facebook,F001,S16970,Facebook,2,Sunday
U1000,2025-02-03,LinkedIn,L001,S30384,LinkedIn,2,Monday
U1001,2025-01-01,Google Ads,G002,S22763,unknown,1,Wednesday
U1001,2025-01-02,Google Ads,G001,S90642,Google Ads,1,Thursday
U1001,2025-01-03,Google Ads,G001,S20916,Google Ads,1,Friday
U1002,2025-03-15,LinkedIn,L001,S66397,LinkedIn,3,Saturday
U1002,2025-03-16,Google Ads,G002,S63932,Google Ads,3,Sunday
U1002,2025-03-17,Google Ads,G002,S47744,Google Ads,3,Monday
U1003,2025-02-01,Facebook,F002,S24489,Facebook,2,Saturday
U1003,2025-02-02,Facebook,F002,S59922,Facebook,2,Sunday
U1003,2025-02-03,LinkedIn,L001,S52944,LinkedIn,2,Monday
U1003,2025-02-04,Facebook,F002,S34285,Facebook,2,Tuesday
U1003,2025-02-05,LinkedIn,L001,S63871,LinkedIn,2,Wednesday
U1004,2025-02-16,LinkedIn,L001,S49764,LinkedIn,2,Sunday
U1004,2025-02-17,Facebook,F002,S69494,Facebook,2,Monday
U1004,2025-02-18,Facebook,F002,S16949,unknown,2,Tuesday
U1004,2025-02-19,Facebook,F002,S35934,Facebook,2,Wednesday
U1005,2025-02-20,LinkedIn,L001,S63413,LinkedIn,2,Thursday
U1005,2025-02-21,Google Ads,G002,S80173,Google Ads,2,Friday
U1005,2025-02-22,LinkedIn,L001,S53088,LinkedIn,2,Saturday
U1005,2025-02-23,Google Ads,G001,S65479,Google Ads,2,Sunday
U1006,2025-03-15,Google Ads,G002,S83477,unknown,3,Saturday
U1006,2025-03-16,Google Ads,G002,S46586,Google Ads,3,Sunday
U1007,2025-03-16,LinkedIn,L001,S34214,LinkedIn,3,Sunday
U1007,2025-03-17,LinkedIn,L001,S16090,LinkedIn,3,Monday
U1007,2025-03-18,Facebook,F002,S51240,Facebook,3,Tuesday
U1007,2025-03-19,LinkedIn,L001,S43434,LinkedIn,3,Wednesday
U1008,2025-02-01,Facebook,F001,S33954,Facebook,2,Saturday
U1008,2025-02-02,Google Ads,G001,S46668,Google Ads,2,Sunday
U1009,2025-01-21,Facebook,F001,S26907,Facebook,1,Tuesday
U1009,2025-01-22,Facebook,F002,S91818,Facebook,1,Wednesday
U1009,2025-01-23,Google Ads,G002,S15240,Google Ads,1,Thursday
U1010,2025-02-25,Facebook,F001,S62796,Facebook,2,Tuesday
U1010,2025-02-26,Google Ads,G002,S69399,Google Ads,2,Wednesday
U1010,2025-02-27,Google Ads,G001,S10302,Google Ads,2,Thursday
U1011,2025-02-25,Facebook,F002,S83686,Facebook,2,Tuesday
U1011,2025-02-26,Facebook,F002,S14621,Facebook,2,Wednesday
U1011,2025-02-27,LinkedIn,L001,S15126,LinkedIn,2,Thursday
U1011,2025-02-28,LinkedIn,L001,S94717,LinkedIn,2,Friday
U1012,2025-01-18,Facebook,F002,S45854,Facebook,1,Saturday
U1012,2025-01-19,TikTok,T001,S20267,TikTok,1,Sunday
U1012,2025-01-20,Facebook,F001,S16229,Facebook,1,Monday
U1012,2025-01-21,Facebook,F002,S13596,Facebook,1,Tuesday
U1013,2025-01-25,TikTok,T001,S92152,TikTok,1,Saturday
U1013,2025-01-26,Google Ads,G002,S36069,Google Ads,1,Sunday
U1013,2025-01-27,Facebook,F001,S91264,Facebook,1,Monday
U1013,2025-01-28,TikTok,T001,S70004,TikTok,1,Tuesday
U1013,2025-01-29,Facebook,F002,S44529,Facebook,1,Wednesday
U1014,2025-02-25,LinkedIn,L001,S13812,LinkedIn,2,Tuesday
U1014,2025-02-26,Google Ads,G001,S11605,unknown,2,Wednesday
U1014,2025-02-27,LinkedIn,L001,S87149,LinkedIn,2,Thursday
U1014,2025-02-28,LinkedIn,L001,S86125,LinkedIn,2,Friday
U1015,2025-01-24,LinkedIn,L001,S34818,LinkedIn,1,Friday
U1015,2025-01-25,LinkedIn,L001,S86323,LinkedIn,1,Saturday
U1015,2025-01-26,TikTok,T001,S51427,TikTok,1,Sunday
U1015,2025-01-27,TikTok,T001,S97886,TikTok,1,Monday
U1016,2025-02-20,Facebook,F001,S20954,Facebook,2,Thursday
U1016,2025-02-21,TikTok,T001,S98236,TikTok,2,Friday
U1016,2025-02-22,TikTok,T001,S40105,TikTok,2,Saturday
U1017,2025-03-09,LinkedIn,L001,S55587,LinkedIn,3,Sunday
U1017,2025-03-10,Google Ads,G002,S88477,Google Ads,3,Monday
U1017,2025-03-11,TikTok,T001,S11917,TikTok,3,Tuesday
U1018,2025-03-18,LinkedIn,L001,S69383,LinkedIn,3,Tuesday
U1018,2025-03-19,Facebook,F001,S12219,unknown,3,Wednesday
U1018,2025-03-20,Facebook,F001,S44387,Facebook,3,Thursday
U1018,2025-03-21,Google Ads,G001,S29216,Google Ads,3,Friday
U1019,2025-03-16,LinkedIn,L001,S36614,LinkedIn,3,Sunday
U1019,2025-03-17,LinkedIn,L001,S93524,LinkedIn,3,Monday
U1020,2025-03-01,TikTok,T001,S77444,TikTok,3,Saturday
U1020,2025-03-02,TikTok,T001,S75441,TikTok,3,Sunday
U1020,2025-03-03,TikTok,T001,S15415,TikTok,3,Monday
U1021,2025-01-22,TikTok,T001,S18007,TikTok,1,Wednesday
U1021,2025-01-23,LinkedIn,L001,S40523,LinkedIn,1,Thursday
U1021,2025-01-24,Facebook,F001,S29282,Facebook,1,Friday
U1021,2025-01-25,LinkedIn,L001,S30611,LinkedIn,1,Saturday
U1021,2025-01-26,Google Ads,G001,S53303,Google Ads,1,Sunday
U1022,2025-02-08,TikTok,T001,S21954,TikTok,2,Saturday
U1022,2025-02-09,Google Ads,G002,S28574,Google Ads,2,Sunday
U1022,2025-02-10,Google Ads,G001,S21246,Google Ads,2,Monday
U1022,2025-02-11,LinkedIn,L001,S46455,LinkedIn,2,Tuesday
U1022,2025-02-12,TikTok,T001,S77506,TikTok,2,Wednesday
U1023,2025-01-06,LinkedIn,L001,S34519,LinkedIn,1,Monday
U1023,2025-01-07,Facebook,F002,S81324,Facebook,1,Tuesday
U1023,2025-01-08,Google Ads,G002,S10922,Google Ads,1,Wednesday
U1024,2025-01-29,Facebook,F001,S74484,Facebook,1,Wednesday
U1024,2025-01-30,LinkedIn,L001,S77779,LinkedIn,1,Thursday
U1024,2025-01-31,Facebook,F002,S53872,Facebook,1,Friday
U1024,2025-02-01,Facebook,F002,S39486,Facebook,2,Saturday
U1024,2025-02-02,TikTok,T001,S74435,TikTok,2,Sunday
U1025,2025-01-15,Google Ads,G002,S24382,Google Ads,1,Wednesday
U1025,2025-01-16,TikTok,T001,S30609,TikTok,1,Thursday
U1025,2025-01-17,LinkedIn,L001,S49666,LinkedIn,1,Friday
U1025,2025-01-18,TikTok,T001,S81315,TikTok,1,Saturday
U1025,2025-01-19,LinkedIn,L001,S86325,LinkedIn,1,Sunday
U1026,2025-03-13,LinkedIn,L001,S86077,LinkedIn,3,Thursday
U1026,2025-03-14,LinkedIn,L001,S85916,LinkedIn,3,Friday
U1026,2025-03-15,TikTok,T001,S27368,TikTok,3,Saturday
U1027,2025-03-01,LinkedIn,L001,S47219,LinkedIn,3,Saturday
U1027,2025-03-02,TikTok,T001,S70279,TikTok,3,Sunday
U1028,2025-03-13,LinkedIn,L001,S75310,LinkedIn,3,Thursday
U1028,2025-03-14,Facebook,F001,S54327,Facebook,3,Friday
U1029,2025-01-11,LinkedIn,L001,S32116,LinkedIn,1,Saturday
U1029,2025-01-12,Google Ads,G002,S29256,Google Ads,1,Sunday
U1030,2025-03-04,Facebook,F001,S73374,Facebook,3,Tuesday
U1030,2025-03-05,Google Ads,G001,S67545,unknown,3,Wednesday
U1031,2025-02-26,Google Ads,G002,S35150,Google Ads,2,Wednesday
U1031,2025-02-27,TikTok,T001,S83509,TikTok,2,Thursday
U1031,2025-02-28,Facebook,F001,S67761,Facebook,2,Friday
U1031,2025-03-01,LinkedIn,L001,S51914,LinkedIn,3,Saturday
U1031,2025-03-02,TikTok,T001,S77526,TikTok,3,Sunday
U1032,2025-03-11,Google Ads,G002,S47148,Google Ads,3,Tuesday
U1032,2025-03-12,LinkedIn,L001,S29097,LinkedIn,3,Wednesday
U1032,2025-03-13,TikTok,T001,S37696,TikTok,3,Thursday
U1032,2025-03-14,LinkedIn,L001,S29816,LinkedIn,3,Friday
U1032,2025-03-15,Google Ads,G002,S31566,Google Ads,3,Saturday
U1033,2025-02-18,LinkedIn,L001,S51949,LinkedIn,2,Tuesday
U1033,2025-02-19,LinkedIn,L001,S43719,LinkedIn,2,Wednesday
U1034,2025-03-03,TikTok,T001,S37952,TikTok,3,Monday
U1034,2025-03-04,Google Ads,G001,S99106,Google Ads,3,Tuesday
U1034,2025-03-05,Facebook,F001,S58302,Facebook,3,Wednesday
U1034,2025-03-06,Facebook,F002,S48000,Facebook,3,Thursday
U1035,2025-02-07,LinkedIn,L001,S65168,LinkedIn,2,Friday
U1035,2025-02-08,TikTok,T001,S50806,TikTok,2,Saturday
U1035,2025-02-09,LinkedIn,L001,S85629,LinkedIn,2,Sunday
U1036,2025-02-24,TikTok,T001,S95382,TikTok,2,Monday
U1036,2025-02-25,Google Ads,G002,S86534,unknown,2,Tuesday
U1036,2025-02-26,LinkedIn,L001,S86218,LinkedIn,2,Wednesday
U1037,2025-03-13,Facebook,F001,S82258,Facebook,3,Thursday
U1037,2025-03-14,LinkedIn,L001,S89111,LinkedIn,3,Friday
U1037,2025-03-15,Facebook,F001,S41821,Facebook,3,Saturday
U1037,2025-03-16,TikTok,T001,S94458,TikTok,3,Sunday
U1038,2025-03-09,TikTok,T001,S96925,TikTok,3,Sunday
U1038,2025-03-10,LinkedIn,L001,S57057,LinkedIn,3,Monday
