user_id,touch_date,channel,campaign_id,session_id,utm_source
U1000,2025-01-30,Facebook,F001,S11015,
U1000,2025-01-31,Google Ads,G002,S18415,Google Ads
U1000,2025-02-01,LinkedIn,L001,S72292,LinkedIn
U1000,2025-02-02,Facebook,F001,S16970,Facebook
U1000,2025-02-03,LinkedIn,L001,S30384,LinkedIn
U1001,2025-01-01,Google Ads,G002,S22763,
U1001,2025-01-02,Google Ads,G001,S90642,Google Ads
U1001,2025-01-03,Google Ads,G001,S20916,Google Ads
U1002,2025-03-15,LinkedIn,L001,S66397,LinkedIn
U1002,2025-03-16,Google Ads,G002,S63932,Google Ads
U1002,2025-03-17,Google Ads,G002,S47744,Google Ads
U1003,2025-02-01,Facebook,F002,S24489,Facebook
U1003,2025-02-02,Facebook,F002,S59922,Facebook
U1003,2025-02-03,LinkedIn,L001,S52944,LinkedIn
U1003,2025-02-04,Facebook,F002,S34285,Facebook
U1003,2025-02-05,LinkedIn,L001,S63871,LinkedIn
U1004,2025-02-16,LinkedIn,L001,S49764,LinkedIn
U1004,2025-02-17,Facebook,F002,S69494,Facebook
U1004,2025-02-18,Facebook,F002,S16949,
U1004,2025-02-19,Facebook,F002,S35934,Facebook
U1005,2025-02-20,LinkedIn,L001,S63413,LinkedIn
U1005,2025-02-21,Google Ads,G002,S80173,Google Ads
U1005,2025-02-22,LinkedIn,L001,S53088,LinkedIn
U1005,2025-02-23,Google Ads,G001,S65479,Google Ads
U1006,2025-03-15,Google Ads,G002,S83477,
U1006,2025-03-16,Google Ads,G002,S46586,Google Ads
U1007,2025-03-16,LinkedIn,L001,S34214,LinkedIn
U1007,2025-03-17,LinkedIn,L001,S16090,LinkedIn
U1007,2025-03-18,Facebook,F002,S51240,Facebook
U1007,2025-03-19,LinkedIn,L001,S43434,LinkedIn
U1008,2025-02-01,Facebook,F001,S33954,Facebook
U1008,2025-02-02,Google Ads,G001,S46668,Google Ads
U1009,2025-01-21,Facebook,F001,S26907,Facebook
U1009,2025-01-22,Facebook,F002,S91818,Facebook
U1009,2025-01-23,Google Ads,G002,S15240,Google Ads
U1010,2025-02-25,Facebook,F001,S62796,Facebook
U1010,2025-02-26,Google Ads,G002,S69399,Google Ads
U1010,2025-02-27,Google Ads,G001,S10302,Google Ads
U1011,2025-02-25,Facebook,F002,S83686,Facebook
U1011,2025-02-26,Facebook,F002,S14621,Facebook
U1011,2025-02-27,LinkedIn,L001,S15126,LinkedIn
U1011,2025-02-28,LinkedIn,L001,S94717,LinkedIn
U1012,2025-01-18,Facebook,F002,S45854,Facebook
U1012,2025-01-19,TikTok,T001,S20267,TikTok
U1012,2025-01-20,Facebook,F001,S16229,Facebook
U1012,2025-01-21,Facebook,F002,S13596,Facebook
U1013,2025-01-25,TikTok,T001,S92152,TikTok
U1013,2025-01-26,Google Ads,G002,S36069,Google Ads
U1013,2025-01-27,Facebook,F001,S91264,Facebook
U1013,2025-01-28,TikTok,T001,S70004,TikTok
U1013,2025-01-29,Facebook,F002,S44529,Facebook
U1014,2025-02-25,LinkedIn,L001,S13812,LinkedIn
U1014,2025-02-26,Google Ads,G001,S11605,
U1014,2025-02-27,LinkedIn,L001,S87149,LinkedIn
U1014,2025-02-28,LinkedIn,L001,S86125,LinkedIn
U1015,2025-01-24,LinkedIn,L001,S34818,LinkedIn
U1015,2025-01-25,LinkedIn,L001,S86323,LinkedIn
U1015,2025-01-26,TikTok,T001,S51427,TikTok
U1015,2025-01-27,TikTok,T001,S97886,TikTok
U1016,2025-02-20,Facebook,F001,S20954,Facebook
U1016,2025-02-21,TikTok,T001,S98236,TikTok
U1016,2025-02-22,TikTok,T001,S40105,TikTok
U1017,2025-03-09,LinkedIn,L001,S55587,LinkedIn
U1017,2025-03-10,Google Ads,G002,S88477,Google Ads
U1017,2025-03-11,TikTok,T001,S11917,TikTok
U1018,2025-03-18,LinkedIn,L001,S69383,LinkedIn
U1018,2025-03-19,Facebook,F001,S12219,
U1018,2025-03-20,Facebook,F001,S44387,Facebook
U1018,2025-03-21,Google Ads,G001,S29216,Google Ads
U1019,2025-03-16,LinkedIn,L001,S36614,LinkedIn
U1019,2025-03-17,LinkedIn,L001,S93524,LinkedIn
U1020,2025-03-01,TikTok,T001,S77444,TikTok
U1020,2025-03-02,TikTok,T001,S75441,TikTok
U1020,2025-03-03,TikTok,T001,S15415,TikTok
U1021,2025-01-22,TikTok,T001,S18007,TikTok
U1021,2025-01-23,LinkedIn,L001,S40523,LinkedIn
U1021,2025-01-24,Facebook,F001,S29282,Facebook
U1021,2025-01-25,LinkedIn,L001,S30611,LinkedIn
U1021,2025-01-26,Google Ads,G001,S53303,Google Ads
U1022,2025-02-08,TikTok,T001,S21954,TikTok
U1022,2025-02-09,Google Ads,G002,S28574,Google Ads
U1022,2025-02-10,Google Ads,G001,S21246,Google Ads
U1022,2025-02-11,LinkedIn,L001,S46455,LinkedIn
U1022,2025-02-12,TikTok,T001,S77506,TikTok
U1023,2025-01-06,LinkedIn,L001,S34519,LinkedIn
U1023,2025-01-07,Facebook,F002,S81324,Facebook
U1023,2025-01-08,Google Ads,G002,S10922,Google Ads
U1024,2025-01-29,Facebook,F001,S74484,Facebook
U1024,2025-01-30,LinkedIn,L001,S77779,LinkedIn
U1024,2025-01-31,Facebook,F002,S53872,Facebook
U1024,2025-02-01,Facebook,F002,S39486,Facebook
U1024,2025-02-02,TikTok,T001,S74435,TikTok
U1025,2025-01-15,Google Ads,G002,S24382,Google Ads
U1025,2025-01-16,TikTok,T001,S30609,TikTok
U1025,2025-01-17,LinkedIn,L001,S49666,LinkedIn
U1025,2025-01-18,TikTok,T001,S81315,TikTok
U1025,2025-01-19,LinkedIn,L001,S86325,LinkedIn
U1026,2025-03-13,LinkedIn,L001,S86077,LinkedIn
U1026,2025-03-14,LinkedIn,L001,S85916,LinkedIn
U1026,2025-03-15,TikTok,T001,S27368,TikTok
U1027,2025-03-01,LinkedIn,L001,S47219,LinkedIn
U1027,2025-03-02,TikTok,T001,S70279,TikTok
U1028,2025-03-13,LinkedIn,L001,S75310,LinkedIn
U1028,2025-03-14,Facebook,F001,S54327,Facebook
U1029,2025-01-11,LinkedIn,L001,S32116,LinkedIn
U1029,2025-01-12,Google Ads,G002,S29256,Google Ads
U1030,2025-03-04,Facebook,F001,S73374,Facebook
U1030,2025-03-05,Google Ads,G001,S67545,
U1031,2025-02-26,Google Ads,G002,S35150,Google Ads
U1031,2025-02-27,TikTok,T001,S83509,TikTok
U1031,2025-02-28,Facebook,F001,S67761,Facebook
U1031,2025-03-01,LinkedIn,L001,S51914,LinkedIn
U1031,2025-03-02,TikTok,T001,S77526,TikTok
U1032,2025-03-11,Google Ads,G002,S47148,Google Ads
U1032,2025-03-12,LinkedIn,L001,S29097,LinkedIn
U1032,2025-03-13,TikTok,T001,S37696,TikTok
U1032,2025-03-14,LinkedIn,L001,S29816,LinkedIn
U1032,2025-03-15,Google Ads,G002,S31566,Google Ads
U1033,2025-02-18,LinkedIn,L001,S51949,LinkedIn
U1033,2025-02-19,LinkedIn,L001,S43719,LinkedIn
U1034,2025-03-03,TikTok,T001,S37952,TikTok
U1034,2025-03-04,Google Ads,G001,S99106,Google Ads
U1034,2025-03-05,Facebook,F001,S58302,Facebook
U1034,2025-03-06,Facebook,F002,S48000,Facebook
U1035,2025-02-07,LinkedIn,L001,S65168,LinkedIn
U1035,2025-02-08,TikTok,T001,S50806,TikTok
U1035,2025-02-09,LinkedIn,L001,S85629,LinkedIn
U1036,2025-02-24,TikTok,T001,S95382,TikTok
U1036,2025-02-25,Google Ads,G002,S86534,
U1036,2025-02-26,LinkedIn,L001,S86218,LinkedIn
U1037,2025-03-13,Facebook,F001,S82258,Facebook
U1037,2025-03-14,LinkedIn,L001,S89111,LinkedIn
U1037,2025-03-15,Facebook,F001,S41821,Facebook
U1037,2025-03-16,TikTok,T001,S94458,TikTok
U1038,2025-03-09,TikTok,T001,S96925,TikTok
U1038,2025-03-10,LinkedIn,L001,S57057,LinkedIn
U1038,2025-03-11,LinkedIn,L001,S26032,LinkedIn
U1038,2025-03-12,LinkedIn,L001,S30079,LinkedIn
U1038,2025-03-13,Google Ads,G001,S41419,Google Ads
U1039,2025-01-02,Google Ads,G001,S95514,Google Ads
U1039,2025-01-03,Facebook,F001,S86918,Facebook
U1039,2025-01-04,TikTok,T001,S43572,TikTok
U1040,2025-01-09,Facebook,F001,S27771,Facebook
U1040,2025-01-10,TikTok,T001,S58285,TikTok
U1040,2025-01-11,TikTok,T001,S96143,TikTok
U1041,2025-01-14,Google Ads,G002,S70774,Google Ads
U1041,2025-01-15,Google Ads,G002,S61693,Google Ads
U1041,2025-01-16,TikTok,T001,S86908,TikTok
